competitor_id,brand,comune,indirizzo,lat,lon,peso_competitor,livello_competitor
C0001,SISA,Sambuca di Sicilia,NO_ADDR,37.508504,13.0781378,0.55,QUARTO
C0002,SISA,Sambuca di Sicilia,Corso Accursio Miraglia 84,37.5116078,13.0708108,0.55,QUARTO
C0003,CARREFOUR,Agrigento,NO_ADDR,37.2657588,13.5911937,0.0,ALTRO
C0004,IPERTE PORTO EMPEDOCLE,Porto Empedocle,NO_ADDR,37.2936862,13.5395218,0.0,ALTRO
C0005,MAX SUPERMERCATI,Agrigento,Viale Emporium 92,37.2692566,13.5827653,0.0,ALTRO
C0006,SISA,Agrigento,NO_ADDR,37.2757733,13.6114795,0.55,QUARTO
C0007,PRIMAVERA,Agrigento,NO_ADDR,37.2739221,13.5851787,0.0,ALTRO
C0008,SCIBETTA BEVANDE,Agrigento,NO_ADDR,37.3184814,13.579945,0.0,ALTRO
C0009,DECO,Enna,NO_ADDR,37.3887186,14.3710633,0.85,SECONDO
C0010,SISA,Piazza Armerina,94015,37.3873384,14.3697037,0.55,QUARTO
C0011,SUPERMECATO PROSHOP,Enna,NO_ADDR,37.6587265,14.5163599,0.0,ALTRO
C0012,EUROSPIN,Enna,NO_ADDR,37.3873708,14.2115365,0.55,QUARTO
C0013,DESPAR,Pergusa,Viale dei Miti 4 94100,37.5230129,14.3041358,0.0,ALTRO
C0014,L'ANGOLO DEI SAPORI,Enna,NO_ADDR,37.7653721,14.351542,0.0,ALTRO
C0015,DESPAR,Enna,NO_ADDR,37.7799593,14.5964862,0.0,ALTRO
C0016,BIMART,Enna,via marche 4,37.788484,14.6022754,0.0,ALTRO
C0017,ARD,Enna,NO_ADDR,37.3800138,14.3709214,0.7,TERZO
C0018,MD,Enna,NO_ADDR,37.6438839,14.3950577,0.7,TERZO
C0019,DESPAR,Enna,Via Pietro Nenni,37.6225183,14.4199017,0.0,ALTRO
C0020,CONAD,Pietraperzia,Via San Giovanni Bosco 94016,37.4146142,14.1426484,0.85,SECONDO
C0021,SUPERCONVENIENTE,Enna,NO_ADDR,37.5530686,14.285004,1.0,DIRETTO
C0022,COOP,Enna,NO_ADDR,37.5668636,14.286329,0.85,SECONDO
C0023,IL CENTESIMO CITY,Enna,NO_ADDR,37.5688719,14.270169,0.85,SECONDO
C0024,ZIO UMBERTO,Enna,NO_ADDR,37.5665617,14.2753829,0.0,ALTRO
C0025,DESPAR,Agira,Via Vittorio Emanuele 94011,37.6572777,14.5181832,0.0,ALTRO
C0026,MINIMARKET DI BERTO SALVATORE,Enna,Via Principe Umberto,37.5683149,14.6914132,0.0,ALTRO
C0027,SPAR,Enna,NO_ADDR,37.386577,14.369249,0.0,ALTRO
