comune,provincia,popolazione,lat,lon
Acate,RG,10945,37.02504,14.492981
Aci Bonaccorsi,CT,3560,37.597687,15.107937
Aci Castello,CT,17618,37.554211,15.14856
Aci Catena,CT,27620,37.60257,15.14196
Aci Sant'Antonio,CT,17882,37.606392,15.126895
Acireale,CT,50744,37.612777,15.16588
Acquaviva Platani,CL,881,37.571999,13.702891
Acquedolci,ME,5493,38.05604,14.581901
Adrano,CT,33788,37.661777,14.833099
Agira,EN,7799,37.656151,14.521575
Agrigento,AG,56045,37.312299,13.57465
Aidone,EN,4487,37.415421,14.445276
Alcamo,TP,44857,37.97665,12.962674
Alcara li Fusi,ME,1792,38.021318,14.701396
Alessandria della Rocca,AG,2628,37.570042,13.454609
Alia,PA,3403,37.779948,13.713856
Alimena,PA,1871,37.693476,14.114651
Aliminusa,PA,1105,37.864509,13.78116
Altavilla Milicia,PA,8452,38.042734,13.550893
Altofonte,PA,9835,38.044567,13.298702
Alì,ME,694,38.027364,15.417689
Alì Terme,ME,2386,38.005064,15.42269
Antillo,ME,836,37.977262,15.244786
Aragona,AG,9013,37.403199,13.617948
Assoro,EN,4906,37.627905,14.423886
Augusta,SR,34490,37.236936,15.219658
Avola,SR,30492,36.909516,15.135001
Bagheria,PA,53149,38.079351,13.509349
Balestrate,PA,6316,38.051867,13.004266
Barcellona Pozzo di Gotto,ME,40263,38.148306,15.217552
Barrafranca,EN,11947,37.372843,14.203313
Basicò,ME,554,38.061393,15.062248
Baucina,PA,1875,37.925429,13.53771
Belmonte Mezzagno,PA,11053,38.048449,13.390554
Belpasso,CT,27498,37.589187,14.978239
Biancavilla,CT,22938,37.646276,14.861411
Bisacquino,PA,4227,37.705431,13.258761
Bivona,AG,3349,37.617397,13.439769
Blufi,PA,911,37.751474,14.074827
Bolognetta,PA,4085,37.964742,13.45607
Bompensiere,CL,512,37.473829,13.780745
Bompietro,PA,1266,37.746863,14.099838
Borgetto,PA,7098,38.047103,13.142684
Brolo,ME,5777,38.155362,14.829575
Bronte,CT,18429,37.78716,14.833845
Buccheri,SR,1831,37.126491,14.85038
Burgio,AG,2572,37.599442,13.29015
Buscemi,SR,975,37.085471,14.884201
Buseto Palizzolo,TP,2763,38.012506,12.711586
Butera,CL,4284,37.190354,14.183489
Caccamo,PA,7936,37.9318,13.66349
Calamonaci,AG,1224,37.52614,13.289851
Calascibetta,EN,4158,37.590191,14.271972
Calatabiano,CT,5147,37.822445,15.227636
Calatafimi-Segesta,TP,6288,37.913638,12.861893
Caltabellotta,AG,3341,37.577341,13.216548
Caltagirone,CT,35758,37.237201,14.513202
Caltanissetta,CL,59425,37.489941,14.063162
Caltavuturo,PA,3690,37.821066,13.890224
Camastra,AG,1960,37.252294,13.7936
Cammarata,AG,5981,37.633825,13.637745
Campobello di Licata,AG,9313,37.25844,13.918266
Campobello di Mazara,TP,11470,37.635838,12.744338
Campofelice di Fitalia,PA,466,37.826685,13.485936
Campofelice di Roccella,PA,7551,37.992334,13.886183
Campofiorito,PA,1186,37.753636,13.268767
Campofranco,CL,2781,37.510479,13.711044
Camporeale,PA,3040,37.897145,13.093842
Camporotondo Etneo,CT,5105,37.56759,15.005131
Canicattini Bagni,SR,6643,37.034928,15.062337
Canicattì,AG,34990,37.358942,13.850364
Capaci,PA,11571,38.170718,13.23917
Capizzi,ME,2846,37.848909,14.478473
Capo d'Orlando,ME,13157,38.159573,14.745073
Capri Leone,ME,4354,38.085874,14.730118
Carini,PA,38797,38.131172,13.181885
Carlentini,SR,16864,37.275881,15.014978
Caronia,ME,3104,38.024707,14.440584
Casalvecchio Siculo,ME,747,37.958162,15.322588
Cassaro,SR,726,37.106937,14.94761
Castel di Iudica,CT,4373,37.494173,14.649715
Castel di Lucio,ME,1186,37.886454,14.312168
Castelbuono,PA,8359,37.931953,14.088562
Casteldaccia,PA,11543,38.054118,13.530226
Castell'Umberto,ME,2923,38.08437,14.807122
Castellammare del Golfo,TP,14644,38.018846,12.885837
Castellana Sicula,PA,3132,37.783179,14.041051
Castelmola,ME,1089,37.858348,15.277316
Casteltermini,AG,7528,37.540835,13.643187
Castelvetrano,TP,30280,37.682851,12.795534
Castiglione di Sicilia,CT,3007,37.882761,15.122225
Castrofilippo,AG,2685,37.348585,13.750096
Castronovo di Sicilia,PA,2913,37.678945,13.603455
Castroreale,ME,2240,38.099272,15.210686
Catania,CT,294298,37.502236,15.08738
Catenanuova,EN,4578,37.567971,14.691819
Cattolica Eraclea,AG,3397,37.44084,13.392054
Cefalà Diana,PA,979,37.915175,13.463549
Cefalù,PA,13994,38.034957,14.024456
Centuripe,EN,5183,37.622952,14.739079
Cerami,EN,1866,37.810654,14.507273
Cerda,PA,4971,37.903579,13.81547
Cesarò,ME,2167,37.844756,14.713076
Chiaramonte Gulfi,RG,7959,37.031342,14.701285
Chiusa Sclafani,PA,2639,37.67722,13.270521
Cianciana,AG,3253,37.519696,13.43408
Ciminna,PA,3524,37.896816,13.562345
Cinisi,PA,11894,38.154943,13.109841
Collesano,PA,3821,37.921477,13.937486
Comiso,RG,30202,36.950734,14.607455
Comitini,AG,884,37.407941,13.642959
Condrò,ME,447,38.173177,15.326943
Contessa Entellina,PA,1555,37.73098,13.183144
Corleone,PA,10694,37.812078,13.301438
Custonaci,TP,5357,38.078163,12.675229
Delia,CL,3942,37.356036,13.927289
Enna,EN,26030,37.566757,14.280747
Erice,TP,26373,38.03823,12.587182
Falcone,ME,2717,38.117482,15.079611
Favara,AG,32446,37.316197,13.662417
Favignana,TP,4303,37.931402,12.327429
Ferla,SR,2371,37.118582,14.941138
Ficarazzi,PA,12763,38.088458,13.463786
Ficarra,ME,1338,38.109061,14.828976
Fiumedinisi,ME,1316,38.026238,15.382083
Fiumefreddo di Sicilia,CT,9119,37.792355,15.206946
Floresta,ME,441,37.987351,14.909714
Floridia,SR,21138,37.086946,15.151894
Fondachelli-Fantina,ME,983,38.000627,15.182419
Forza d'Agrò,ME,868,37.91372,15.335449
Francavilla di Sicilia,ME,3619,37.901129,15.136208
Francofonte,SR,11847,37.226582,14.881881
Frazzanò,ME,594,38.072269,14.744953
Furci Siculo,ME,3185,37.961204,15.381735
Furnari,ME,3863,38.104671,15.125223
Gaggi,ME,3116,37.860091,15.221412
Gagliano Castelferrato,EN,3413,37.71139,14.536661
Galati Mamertino,ME,2373,38.031559,14.772517
Gallodoro,ME,344,37.90183,15.293695
Gangi,PA,6358,37.795627,14.20672
Gela,CL,71535,37.066436,14.250244
Geraci Siculo,PA,1782,37.859137,14.154416
Giardinello,PA,2271,38.088049,13.157041
Giardini-Naxos,ME,9147,37.835441,15.271845
Giarratana,RG,2827,37.048112,14.793797
Giarre,CT,26588,37.726857,15.187688
Gibellina,TP,3876,37.807042,12.869539
Gioiosa Marea,ME,6844,38.173269,14.895164
Giuliana,PA,1746,37.670591,13.237804
Godrano,PA,1100,37.903344,13.428924
Grammichele,CT,12773,37.214682,14.636542
Graniti,ME,1446,37.890173,15.224898
Gratteri,PA,887,37.967377,13.97393
Gravina di Catania,CT,25116,37.560369,15.061763
Grotte,AG,5352,37.402853,13.70067
Gualtieri Sicaminò,ME,1624,38.163249,15.316544
Isnello,PA,1368,37.943953,14.005761
Isola delle Femmine,PA,7078,38.198295,13.247344
Ispica,RG,16190,36.785832,14.907637
Itala,ME,1508,38.051059,15.436903
Joppolo Giancaxio,AG,1120,37.38704,13.555258
Lampedusa e Linosa,AG,6373,35.511134,12.596291
Lascari,PA,3671,38.000053,13.941459
Leni,ME,684,38.554469,14.825471
Lentini,SR,21919,37.284685,14.998778
Leonforte,EN,12679,37.639212,14.392427
Lercara Friddi,PA,6407,37.746946,13.604854
Letojanni,ME,2722,37.880276,15.306866
Librizzi,ME,1609,38.096866,14.95834
Licata,AG,35189,37.101636,13.937615
Licodia Eubea,CT,2962,37.157144,14.706084
Limina,ME,727,37.940774,15.272668
Linguaglossa,CT,5094,37.842643,15.142131
Lipari,ME,12334,38.468185,14.95472
Longi,ME,1359,38.027271,14.752656
Lucca Sicula,AG,1740,37.579049,13.306568
Maletto,CT,3660,37.829022,14.865664
Malfa,ME,976,38.57597,14.835471
Malvagna,ME,650,37.918393,15.055383
Mandanici,ME,558,38.003586,15.317095
Maniace,CT,3655,37.862423,14.807835
Marianopoli,CL,1675,37.597446,13.915763
Marineo,PA,6283,37.952893,13.415024
Marsala,TP,80369,37.797922,12.434209
Mascali,CT,13895,37.760285,15.197431
Mascalucia,CT,30919,37.573605,15.051727
Mazara del Vallo,TP,50046,37.653729,12.588691
Mazzarino,CL,11186,37.305024,14.214078
Mazzarrone,CT,3912,37.083393,14.561674
Mazzarrà Sant'Andrea,ME,1411,38.088463,15.133583
Melilli,SR,13345,37.178288,15.126621
Menfi,AG,12009,37.606639,12.967843
Merì,ME,2346,38.166817,15.25037
Messina,ME,225546,38.193757,15.554208
Mezzojuso,PA,2754,37.864532,13.464195
Milazzo,ME,29884,38.220805,15.241513
Milena,CL,2799,37.471521,13.736437
Militello Rosmarino,ME,1221,38.045917,14.676017
Militello in Val di Catania,CT,6914,37.274584,14.793878
Milo,CT,1036,37.722445,15.115739
Mineo,CT,4623,37.264875,14.690849
Mirabella Imbaccari,CT,4286,37.323804,14.445939
Mirto,ME,911,38.08466,14.751475
Misiliscemi,TP,8669,37.925714,12.537552
Misilmeri,PA,28587,38.03522,13.451404
Misterbianco,CT,49290,37.519172,15.007936
Mistretta,ME,4509,37.929885,14.362873
Modica,RG,53638,36.858921,14.761302
Moio Alcantara,ME,675,37.89967,15.049043
Monforte San Giorgio,ME,2581,38.156401,15.383256
Mongiuffi Melia,ME,543,37.905877,15.255718
Monreale,PA,37375,38.082632,13.291993
Montagnareale,ME,1450,38.132354,14.946482
Montalbano Elicona,ME,2054,38.023409,15.013672
Montallegro,AG,2404,37.392939,13.350753
Montedoro,CL,1438,37.453508,13.816238
Montelepre,PA,5879,38.088964,13.171343
Montemaggiore Belsito,PA,3050,37.847752,13.762048
Monterosso Almo,RG,2815,37.088874,14.762708
Montevago,AG,2778,37.702241,12.985842
Motta Camastra,ME,794,37.894319,15.170271
Motta Sant'Anastasia,CT,12187,37.513391,14.967072
Motta d'Affermo,ME,664,37.981173,14.302061
Mussomeli,CL,10111,37.577845,13.751259
Naro,AG,7155,37.29622,13.791567
Naso,ME,3556,38.122118,14.78898
Nicolosi,CT,7423,37.614711,15.026349
Nicosia,EN,13054,37.747452,14.397271
Niscemi,CL,25603,37.14645,14.39418
Nissoria,EN,2884,37.655277,14.449468
Nizza di Sicilia,ME,3539,37.992622,15.411913
Noto,SR,23742,36.890886,15.070645
Novara di Sicilia,ME,1206,38.016082,15.13183
Oliveri,ME,2062,38.123481,15.060849
Pace del Mela,ME,6152,38.179625,15.305332
Paceco,TP,10928,37.981297,12.557309
Pachino,SR,21722,36.715209,15.091477
Pagliara,ME,1114,37.985463,15.359689
Palagonia,CT,16081,37.327355,14.745332
Palazzo Adriano,PA,1881,37.681254,13.379266
Palazzolo Acreide,SR,8323,37.061913,14.90391
Palermo,PA,640720,38.111227,13.352443
Palma di Montechiaro,AG,21361,37.191664,13.763714
Pantelleria,TP,7391,36.831458,11.94504
Partanna,TP,10001,37.727841,12.88854
Partinico,PA,30729,38.043896,13.119821
Paternò,CT,45756,37.56707,14.905352
Patti,ME,12842,38.138901,14.964816
Pedara,CT,14638,37.616809,15.060211
Petralia Soprana,PA,3076,37.79634,14.108468
Petralia Sottana,PA,2520,37.808225,14.092513
Petrosino,TP,8037,37.71624,12.494547
Pettineo,ME,1260,37.966364,14.29191
Piana degli Albanesi,PA,5758,37.994836,13.282689
Piazza Armerina,EN,20842,37.385946,14.367174
Piedimonte Etneo,CT,4015,37.806707,15.178193
Pietraperzia,EN,6472,37.421564,14.137026
Piraino,ME,3832,38.161243,14.861943
Poggioreale,TP,1397,37.762096,13.034318
Polizzi Generosa,PA,3045,37.812819,13.999683
Pollina,PA,2857,37.992894,14.145799
Porto Empedocle,AG,15818,37.288313,13.52755
Portopalo di Capo Passero,SR,3814,36.683845,15.13329
Pozzallo,RG,19057,36.72633,14.846343
Priolo Gargallo,SR,11508,37.15793,15.186028
Prizzi,PA,4392,37.721453,13.431265
Racalmuto,AG,7694,37.40894,13.732402
Raccuja,ME,895,38.055261,14.909578
Raddusa,CT,2911,37.472556,14.53252
Raffadali,AG,12369,37.404053,13.532076
Ragalna,CT,4086,37.636958,14.947876
Ragusa,RG,71281,36.921983,14.721345
Ramacca,CT,10398,37.388048,14.692681
Randazzo,CT,10452,37.877934,14.946248
Ravanusa,AG,10862,37.267914,13.973255
Realmonte,AG,4384,37.308393,13.461567
Regalbuto,EN,6814,37.653547,14.639636
Reitano,ME,719,37.97284,14.34429
Resuttano,CL,1823,37.678648,14.029464
Ribera,AG,17953,37.502787,13.266188
Riesi,CL,10854,37.281961,14.082414
Riposto,CT,14001,37.73189,15.204221
Roccafiorita,ME,181,37.930197,15.268096
Roccalumera,ME,3932,37.976263,15.395189
Roccamena,PA,1389,37.836028,13.153858
Roccapalumba,PA,2232,37.805948,13.638455
Roccavaldina,ME,1008,38.181484,15.372556
Roccella Valdemone,ME,580,37.932983,15.008455
Rodì Milici,ME,1968,38.068965,15.174781
Rometta,ME,6429,38.171115,15.41455
Rosolini,SR,20667,36.820499,14.952628
Salaparuta,TP,1601,37.757942,13.009742
Salemi,TP,10060,37.817371,12.800945
Sambuca di Sicilia,AG,5545,37.64774,13.111031
San Biagio Platani,AG,2977,37.509014,13.524282
San Cataldo,CL,20812,37.491446,13.993516
San Cipirello,PA,5091,37.96296,13.17538
San Cono,CT,2526,37.289942,14.364986
San Filippo del Mela,ME,6770,38.169727,15.272527
San Fratello,ME,3379,38.013442,14.597392
San Giovanni Gemini,AG,7714,37.629936,13.641375
San Giovanni la Punta,CT,22846,37.577407,15.094215
San Giuseppe Jato,PA,8247,37.970486,13.182489
San Gregorio di Catania,CT,11362,37.565254,15.111788
San Marco d'Alunzio,ME,1818,38.073514,14.699355
San Mauro Castelverde,PA,1435,37.914628,14.190378
San Michele di Ganzaria,CT,3062,37.279563,14.42602
San Pier Niceto,ME,2638,38.158918,15.351874
San Piero Patti,ME,2657,38.05215,14.967069
San Pietro Clarenza,CT,8031,37.568853,15.022886
San Salvatore di Fitalia,ME,1180,38.071713,14.777616
San Teodoro,ME,1278,37.847208,14.7001
San Vito Lo Capo,TP,4807,38.172347,12.734932
Sant'Agata di Militello,ME,12190,38.068062,14.633334
Sant'Agata li Battiati,CT,9283,37.558273,15.080813
