store_id,store_lat,store_lon,competitor_id,competitor_lat,competitor_lon
S01,37.3628912,13.8600864,C0657,37.35666,13.85151
S01,37.3628912,13.8600864,C0658,37.350223294362,13.855567958155
S01,37.3628912,13.8600864,C0659,37.3501516,13.8551791
S01,37.3628912,13.8600864,C0660,37.3499445,13.8378039
S01,37.3628912,13.8600864,C0661,37.35045,13.8561
S01,37.3628912,13.8600864,C0662,37.3522,13.8506
S01,37.3628912,13.8600864,C0663,37.3553,13.8479
S01,37.3628912,13.8600864,C0664,37.3581,13.8472
S01,37.3628912,13.8600864,C0745,37.352573404274,13.831014633179
S02,37.6702076,12.8180274,C0401,37.6612867,12.8091687
S02,37.6702076,12.8180274,C0416,37.6920161,12.8001183
S02,37.6702076,12.8180274,C0437,37.6999258,12.8058222
S02,37.6702076,12.8180274,C0466,37.669871,12.8152398
S02,37.6702076,12.8180274,C0471,37.66194,12.81038
S02,37.6702076,12.8180274,C0679,37.66452,12.81185
S02,37.6702076,12.8180274,C0732,37.6683188,12.814444
S02,37.6702076,12.8180274,C0733,37.6899379,12.7995648
S02,37.6702076,12.8180274,C0737,37.6661963,12.8139293
S03,37.3324332,13.5952193,C0003,37.2657588,13.5911937
S03,37.3324332,13.5952193,C0004,37.2936862,13.5395218
S03,37.3324332,13.5952193,C0005,37.2692566,13.5827653
S03,37.3324332,13.5952193,C0006,37.2757733,13.6114795
S03,37.3324332,13.5952193,C0007,37.2739221,13.5851787
S03,37.3324332,13.5952193,C0008,37.3184814,13.579945
S03,37.3324332,13.5952193,C0037,37.2942232,13.5421065
S03,37.3324332,13.5952193,C0672,37.2742,13.5722
S03,37.3324332,13.5952193,C0673,37.2921,13.5845
S03,37.3324332,13.5952193,C0710,37.3115337,13.5771404
S03,37.3324332,13.5952193,C0711,37.3241386,13.6635017
S03,37.3324332,13.5952193,C0712,37.2927134,13.5267988
S03,37.3324332,13.5952193,C0715,37.2782803,13.6102242
S03,37.3324332,13.5952193,C0739,37.3244349,13.6620468
S03,37.3324332,13.5952193,C0740,37.29486,13.54182
S03,37.3324332,13.5952193,C0743,37.29682101,13.55365542
S03,37.3324332,13.5952193,C0744,37.3443489,13.5983839
S03,37.3324332,13.5952193,C0748,37.299028,13.554275
S03,37.3324332,13.5952193,C0749,37.3115337,13.5771404
S04,36.9597629,14.5538032,C0183,36.9537379,14.5779017
S04,36.9597629,14.5538032,C0185,37.0225557,14.5790687
