brand,name,city,lat,lon,shop,osm_id,type,key
COOP,Coop,,38.1232879,13.3552181,supermarket,267672822,node,COOP|
COOP,In Coop,,37.7350387,15.1575855,supermarket,472805158,node,IN COOP|
COOP,Coop,,38.0924649,13.3642602,supermarket,568516590,node,COOP|
COOP,Coop,,37.6149807,15.09969,supermarket,577398872,node,COOP|
COOP,InCoop,,37.621622,15.0799099,convenience,914345959,node,INCOOP|
COOP,Coop,,37.0225557,14.5790687,supermarket,1028937717,node,COOP|
COOP,Coop,,37.5735542,15.0433387,supermarket,1100014228,node,COOP|
COOP,Ipercoop,,37.572955,15.0660228,supermarket,1188979352,node,IPERCOOP|
COOP,PaghiPoco,,38.0243154,12.5278239,supermarket,1794786670,node,PAGHIPOCO|
COOP,Coop,,38.088334,13.5043074,supermarket,1870186701,node,COOP|
COOP,Coop,,37.5251387,15.0948653,supermarket,1872771191,node,COOP|
COOP,In Coop,,36.8952429,15.0703333,supermarket,2148001272,node,IN COOP|
COOP,In Coop,,36.9806066,14.8289544,convenience,2254915371,node,IN COOP|
COOP,In Coop,,37.0661732,15.2872602,convenience,3115306085,node,IN COOP|
COOP,In Coop,,36.8663434,14.7567661,supermarket,3221630965,node,IN COOP|
COOP,In Coop,,37.062666,15.292738,supermarket,3730642225,node,IN COOP|
COOP,Coop,,37.7325413,15.2048796,supermarket,4081898145,node,COOP|
COOP,Coop,,36.9072022,14.7194403,supermarket,4329883457,node,COOP|
COOP,Coop,,38.0644531,13.5077402,supermarket,4338895118,node,COOP|
COOP,Supermercato Coop,,37.3002052,13.5577057,supermarket,4361804623,node,SUPERMERCATO COOP|
COOP,In Coop,,37.0624412,15.2934737,convenience,4370007322,node,IN COOP|
COOP,Coop,,37.5158677,13.0772169,supermarket,4370195705,node,COOP|
COOP,In Coop,,36.7302882,14.8480511,convenience,4413052809,node,IN COOP|
COOP,In Coop,,36.9038615,15.13939,supermarket,4421095625,node,IN COOP|
COOP,Ipercoop,,38.1868648,15.2675159,supermarket,4597953185,node,IPERCOOP|
COOP,Coop,,36.7878554,14.697004,supermarket,4715900298,node,COOP|
COOP,In Coop,,37.0698662,15.2858272,supermarket,4750858473,node,IN COOP|
COOP,Coop,,36.8332886,14.5259039,supermarket,4836003071,node,COOP|
COOP,Deco,,37.9306964,12.3306431,supermarket,4914496611,node,DECO|
COOP,In Coop,,36.7632205,14.6389207,supermarket,5156388021,node,IN COOP|
COOP,In Coop,,36.819943,14.9498672,supermarket,5476722862,node,IN COOP|
COOP,Coop,,38.1157464,15.0737307,supermarket,5488707156,node,COOP|
COOP,Coop,,37.7916268,14.8221386,supermarket,5739547671,node,COOP|
COOP,In Coop,,37.0853256,15.2834121,supermarket,6146462346,node,IN COOP|
COOP,Coop,,37.0929002,15.211,supermarket,6146462349,node,COOP|
COOP,In Coop,,37.0838908,15.2842571,supermarket,6146462351,node,IN COOP|
COOP,In Coop,,37.0887843,15.2849061,supermarket,6146462352,node,IN COOP|
