brand,name,city,lat,lon,shop,osm_id,type,key
CRAI,Cuor di Crai,,37.5680039,15.16401,convenience,748608047,node,CUOR DI CRAI|
CRAI,Crai,,38.4881549,14.9636375,supermarket,759588910,node,CRAI|
CRAI,Crai,,37.6385309,14.953273,supermarket,962416243,node,CRAI|
CRAI,Crai,,38.218847,15.2390502,supermarket,2370292410,node,CRAI|
CRAI,Sisa,Campofelice di Roccella,37.9851974,13.8838678,supermarket,2945359752,node,SISA|CAMPOFELICE DI ROCCELLA
CRAI,Crai,,38.136476,13.3613998,supermarket,4245892052,node,CRAI|
CRAI,Supermercato Crai,,38.1798149,15.3074521,supermarket,4556570319,node,SUPERMERCATO CRAI|
CRAI,Crai,,38.1539071,15.2094872,supermarket,6525085482,node,CRAI|
CRAI,Crai,,37.6466788,14.8605403,supermarket,9459306793,node,CRAI|
CRAI,Crai,,37.4026848,13.6159454,supermarket,9909977629,node,CRAI|
CRAI,Supermercato Crai,,37.5104429,13.7051551,supermarket,10680631812,node,SUPERMERCATO CRAI|
CRAI,Crai,,37.7898345,14.1080901,supermarket,10994298325,node,CRAI|
CRAI,Cuor di Crai,,37.6867766,15.139126,convenience,11115145144,node,CUOR DI CRAI|
CRAI,Supermercato Crai,,37.1874349,13.7724473,supermarket,11146580140,node,SUPERMERCATO CRAI|
CRAI,Supermercato Crai,,37.6094943,12.9655744,supermarket,11374890878,node,SUPERMERCATO CRAI|
CRAI,Supermercato Crai,,37.6033716,12.966492,supermarket,11386204149,node,SUPERMERCATO CRAI|
CRAI,Supermercato Crai,,37.6040247,12.9698394,supermarket,11406197933,node,SUPERMERCATO CRAI|
CRAI,Crai,,38.0781257,14.6467445,supermarket,11527815825,node,CRAI|
CRAI,Crai,,38.1957147,13.3075344,supermarket,11546529321,node,CRAI|
CRAI,Cuor di Crai,,37.6188185,15.0541985,convenience,11635851584,node,CUOR DI CRAI|
CRAI,Crai,,37.558426,15.0805204,supermarket,12288587141,node,CRAI|
CRAI,Crai,,38.1090415,14.7061361,supermarket,12483992451,node,CRAI|
CRAI,Crai,Palermo,38.1003106,13.3339276,supermarket,13426617001,node,CRAI|PALERMO
CRAI,Crai,,37.6486211,14.8561453,supermarket,238428193,way,CRAI|
CRAI,,,37.826044,12.7849187,supermarket,475922507,way,|
CRAI,Mg Schillaci Supermercato Crai Ferramenta E Casalinghi,Milena,37.471796,13.7324652,supermarket,778949342,way,MG SCHILLACI SUPERMERCATO CRAI FERRAMENTA E CASALINGHI|MILENA
