brand,name,city,lat,lon,shop,osm_id,type,key
SISA,CM Alimentari,,37.64965,12.5995756,supermarket,484937974,node,CM ALIMENTARI|
SISA,Sisa,,37.5116078,13.0708108,supermarket,759819895,node,SISA|
SISA,Supermercato Sisa,Piazza Armerina,37.3873384,14.3697037,supermarket,1770569448,node,SUPERMERCATO SISA|PIAZZA ARMERINA
SISA,Sisa,,37.9880186,13.6957177,supermarket,1879336352,node,SISA|
SISA,Sisa,,38.0848556,13.5143586,supermarket,3562111691,node,SISA|
SISA,Sisa,,37.0693334,14.2417763,supermarket,3677318341,node,SISA|
SISA,Sisa,,38.0753172,13.5019851,supermarket,3685244505,node,SISA|
SISA,Sisa,,38.0923561,13.3651289,supermarket,3946456422,node,SISA|
SISA,Quick SISA,Palermo,38.1008481,13.3330969,convenience,5412716554,node,QUICK SISA|PALERMO
SISA,Sisa,,37.2964325,13.4976966,supermarket,5462051530,node,SISA|
SISA,Sisa,Ciminna,37.8999635,13.5575167,supermarket,7019113655,node,SISA|CIMINNA
SISA,Sisa,,36.8787495,15.082882,supermarket,7650165365,node,SISA|
SISA,Sisa,,37.2474354,15.2197076,supermarket,8019143933,node,SISA|
SISA,Sisa,,37.1577415,15.1808179,supermarket,8194142124,node,SISA|
SISA,Sisa Quick,,37.1799883,15.1291141,supermarket,8258816058,node,SISA QUICK|
SISA,Sisa,,37.0854904,15.1566582,supermarket,8258816059,node,SISA|
SISA,Sisa,,37.0804571,15.15075,supermarket,8258816060,node,SISA|
SISA,Sisa,,36.8895815,15.064584,convenience,8268396529,node,SISA|
SISA,Quick,,38.0790569,13.437126,convenience,8456932723,node,QUICK|
SISA,Quick,,38.1282922,13.3418025,convenience,8684325544,node,QUICK|
SISA,Quick,,38.1283018,13.3414976,convenience,8684325545,node,QUICK|
SISA,Sisa,,38.1428647,13.3621195,supermarket,8914796221,node,SISA|
SISA,Sisa,Palermo,38.1500472,13.3321302,supermarket,9429139242,node,SISA|PALERMO
SISA,Sisa,,38.1106957,13.3264897,supermarket,9469206591,node,SISA|
SISA,Sisa,Palermo,38.1360455,13.3510213,supermarket,9497905572,node,SISA|PALERMO
SISA,Sisa,Palermo,38.1002704,13.3347581,supermarket,10696691654,node,SISA|PALERMO
SISA,Sisa,,38.0348145,13.4546122,supermarket,10977314510,node,SISA|
SISA,Sisa,,37.2226986,14.5236857,supermarket,11207982873,node,SISA|
SISA,Sisa,Palermo,38.0748069,13.3052185,supermarket,11217779402,node,SISA|PALERMO
SISA,Sisa,Palermo,38.1605385,13.3295569,supermarket,11219428786,node,SISA|PALERMO
SISA,Sisa,Palermo,38.164959,13.3194601,supermarket,11224571176,node,SISA|PALERMO
SISA,Supermercato Sisa,,37.2640889,13.6219177,supermarket,11256130997,node,SUPERMERCATO SISA|
SISA,Supermercato Sisa,,37.7749561,13.712866,supermarket,11323151360,node,SUPERMERCATO SISA|
SISA,Supermercato Sisa,,37.7422116,13.6034198,supermarket,11347035295,node,SUPERMERCATO SISA|
SISA,Supermercato Sisa,,37.6956698,13.0195811,supermarket,11501096464,node,SUPERMERCATO SISA|
SISA,Sisa,,37.9917256,12.5518354,supermarket,11556355023,node,SISA|
SISA,Sisa,,37.6268033,13.692997,supermarket,11591695630,node,SISA|
SISA,Sisa,,37.9043216,13.4748174,supermarket,11594555813,node,SISA|
SISA,Sisa,,37.7674911,12.4678817,supermarket,11645496162,node,SISA|
SISA,Sisa Quick,,37.21579,14.6319142,convenience,12233255135,node,SISA QUICK|
SISA,Sisa Quick,,37.5125364,15.0723812,convenience,12233255136,node,SISA QUICK|
SISA,Sisa,,38.1456497,14.969483,supermarket,12254671144,node,SISA|
SISA,Sisa,Palermo,38.100019,13.3348107,supermarket,13078318803,node,SISA|PALERMO
SISA,Sisa,,37.5095483,15.0975767,supermarket,73213441,way,SISA|
SISA,Sisa,,37.651917,13.0994005,supermarket,114429754,way,SISA|
SISA,Sisa,,38.1473731,13.3315182,supermarket,280099333,way,SISA|
SISA,Sisa,,37.5700377,15.0812607,supermarket,928704623,way,SISA|
SISA,Sisa,,37.8406961,12.5025125,supermarket,1317519140,way,SISA|
